                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.44566,                0.30608,                0.91413,                0.98272,                0.96457,                0.98757,                0.82613,                  0.728,                0.34887,                0.97133,               0.008812,               0.008812,               0.008812
                     38,                0.44531,                0.30537,                0.91767,                0.98387,                0.95996,                0.98612,                0.82543,                0.72922,                0.36276,                0.97351,               0.008779,               0.008779,               0.008779
                     39,                0.44568,                0.30238,                0.91476,                0.98455,                0.96561,                0.98852,                0.82573,                0.72464,                0.34781,                0.97023,               0.008746,               0.008746,               0.008746
                     40,                0.43973,                 0.3007,                0.91132,                0.97737,                0.97494,                 0.9861,                0.82183,                0.73002,                0.35766,                0.97603,               0.008713,               0.008713,               0.008713
                     41,                0.43562,                0.29875,                 0.9124,                0.98603,                0.96866,                0.98834,                0.83234,                0.71401,                0.34351,                0.96526,                0.00868,                0.00868,                0.00868
                     42,                0.43661,                0.29997,                0.90966,                0.98593,                0.96581,                0.98677,                0.83222,                0.70401,                0.34384,                0.96326,               0.008647,               0.008647,               0.008647
                     43,                0.43071,                0.29118,                 0.9086,                0.98612,                0.96937,                0.98708,                0.82893,                0.72028,                0.33601,                0.96932,               0.008614,               0.008614,               0.008614
                     44,                0.42874,                0.29149,                0.90871,                0.98476,                0.97581,                0.98787,                 0.8295,                0.71456,                0.33829,                0.96718,               0.008581,               0.008581,               0.008581
                     45,                0.42776,                0.29094,                0.90916,                0.98276,                0.96966,                0.98741,                0.83213,                0.71295,                0.34035,                0.96663,               0.008548,               0.008548,               0.008548
                     46,                0.42733,                0.28591,                0.91033,                0.98269,                0.97835,                0.98699,                0.84045,                0.69897,                0.32312,                0.95712,               0.008515,               0.008515,               0.008515
                     47,                0.42607,                0.28733,                0.90727,                0.98651,                 0.9758,                0.98806,                0.83517,                0.70194,                0.32959,                0.95958,               0.008482,               0.008482,               0.008482
                     48,                0.42285,                0.28568,                0.90552,                  0.985,                0.97894,                0.98847,                0.83685,                0.69739,                0.32368,                0.96343,               0.008449,               0.008449,               0.008449
                     49,                0.41981,                0.28236,                0.90609,                0.98821,                0.97593,                0.98779,                0.83764,                0.70711,                0.31819,                0.96457,               0.008416,               0.008416,               0.008416
                     50,                0.41749,                 0.2812,                0.90585,                 0.9846,                0.97564,                0.98919,                0.83983,                0.69616,                0.32094,                0.95817,               0.008383,               0.008383,               0.008383
                     51,                0.41851,                  0.283,                0.90634,                0.98664,                0.97478,                0.98986,                0.84002,                0.69356,                0.31558,                0.95128,                0.00835,                0.00835,                0.00835
                     52,                0.41128,                0.27776,                0.90195,                0.98803,                0.97775,                0.99002,                0.83815,                0.70188,                0.31543,                0.95837,               0.008317,               0.008317,               0.008317
                     53,                0.41137,                0.28061,                0.90444,                0.98352,                0.98013,                0.98973,                0.83891,                0.69911,                0.31875,                0.96065,               0.008284,               0.008284,               0.008284
                     54,                0.41222,                0.27876,                 0.9025,                0.98895,                0.97964,                0.99003,                0.84086,                0.69584,                0.31743,                0.95855,               0.008251,               0.008251,               0.008251
                     55,                0.40989,                 0.2768,                0.90633,                0.98581,                0.98206,                0.99038,                0.84281,                0.69452,                0.31646,                0.95566,               0.008218,               0.008218,               0.008218
                     56,                0.40539,                0.27397,                0.90056,                0.98871,                0.97915,                0.98915,                0.83782,                 0.6896,                0.31077,                0.95455,               0.008185,               0.008185,               0.008185
                     57,                0.40416,                0.27506,                0.89866,                 0.9823,                0.98356,                0.98929,                0.84283,                0.68545,                0.30969,                0.95283,               0.008152,               0.008152,               0.008152
                     58,                0.40742,                0.27405,                0.90243,                0.98417,                0.98211,                0.99054,                0.84316,                0.68466,                0.30974,                0.95081,               0.008119,               0.008119,               0.008119
                     59,                0.40624,                 0.2732,                0.89978,                0.98708,                0.98191,                0.98997,                0.84462,                0.68636,                0.30893,                 0.9556,               0.008086,               0.008086,               0.008086
                     60,                 0.4054,                0.27228,                0.90154,                0.98922,                0.97906,                0.98997,                0.84573,                0.68698,                0.31234,                0.94752,               0.008053,               0.008053,               0.008053
                     61,                0.40166,                0.27442,                0.89868,                0.98649,                 0.9814,                0.98984,                0.84697,                0.68215,                0.30879,                0.94707,                0.00802,                0.00802,                0.00802
                     62,                 0.3979,                0.26789,                0.89429,                0.98947,                0.97774,                0.99039,                0.84798,                0.68345,                 0.3047,                0.94815,               0.007987,               0.007987,               0.007987
                     63,                 0.3987,                0.26978,                0.89674,                0.98937,                0.97655,                0.99031,                0.84924,                0.67927,                0.29996,                0.94453,               0.007954,               0.007954,               0.007954
                     64,                0.39664,                0.26686,                0.89811,                 0.9867,                0.98109,                0.98989,                 0.8477,                0.67769,                0.29775,                0.94654,               0.007921,               0.007921,               0.007921
                     65,                0.39517,                0.26706,                0.89512,                0.98762,                0.97867,                0.99048,                0.84796,                0.67717,                0.29932,                0.94711,               0.007888,               0.007888,               0.007888
                     66,                0.39599,                0.26917,                0.89749,                0.98608,                0.98046,                0.99039,                 0.8486,                 0.6749,                 0.3008,                0.94492,               0.007855,               0.007855,               0.007855
                     67,                0.39278,                0.26467,                0.89622,                0.98834,                0.97973,                0.99014,                0.84864,                0.67609,                0.30175,                0.94767,               0.007822,               0.007822,               0.007822
                     68,                 0.3925,                0.26423,                0.89774,                0.98583,                0.98073,                0.98982,                0.84658,                0.67646,                0.30164,                0.94943,               0.007789,               0.007789,               0.007789
                     69,                0.39498,                 0.2672,                0.89949,                0.98717,                0.98367,                0.98949,                 0.8474,                0.67821,                0.30338,                0.95095,               0.007756,               0.007756,               0.007756
                     70,                0.39062,                 0.2644,                 0.8962,                0.99018,                  0.981,                0.98986,                0.84877,                0.67409,                0.29943,                0.94833,               0.007723,               0.007723,               0.007723
                     71,                0.38888,                0.26037,                0.89586,                0.98963,                0.97929,                0.99041,                0.85006,                0.66952,                  0.299,                 0.9431,                0.00769,                0.00769,                0.00769
                     72,                0.38644,                0.26202,                0.89043,                0.99059,                0.97798,                0.98985,                0.85104,                0.67078,                0.29749,                0.94526,               0.007657,               0.007657,               0.007657
                     73,                0.38623,                0.26308,                0.89313,                0.99045,                0.97958,                0.99018,                0.85133,                0.66771,                0.29129,                0.94475,               0.007624,               0.007624,               0.007624
                     74,                0.38533,                0.25948,                0.89332,                0.98942,                0.97938,                0.99001,                 0.8525,                0.66649,                0.29213,                0.94402,               0.007591,               0.007591,               0.007591
                     75,                0.38014,                0.25856,                0.89183,                0.98776,                0.98092,                0.99017,                0.85236,                0.66869,                0.29278,                0.94422,               0.007558,               0.007558,               0.007558
                     76,                0.38018,                 0.2569,                0.88974,                0.99129,                0.98054,                 0.9906,                0.85159,                0.66785,                0.29206,                0.94343,               0.007525,               0.007525,               0.007525
                     77,                 0.3801,                 0.2551,                0.89109,                0.99017,                0.98024,                0.99067,                0.85189,                0.66415,                0.28925,                0.94198,               0.007492,               0.007492,               0.007492
                     78,                0.38081,                0.25467,                0.89204,                 0.9906,                0.97897,                0.99085,                0.85324,                0.66241,                0.28843,                0.94063,               0.007459,               0.007459,               0.007459
                     79,                0.37968,                0.25522,                0.89172,                0.98832,                0.98412,                0.99014,                0.85279,                0.66283,                 0.2872,                0.94091,               0.007426,               0.007426,               0.007426
                     80,                0.37804,                 0.2541,                0.89266,                0.98911,                 0.9827,                0.99083,                0.85267,                0.66629,                0.28679,                 0.9424,               0.007393,               0.007393,               0.007393
                     81,                0.38073,                 0.2548,                0.89306,                0.98598,                0.98297,                0.99081,                0.85375,                0.66766,                 0.2874,                0.94218,                0.00736,                0.00736,                0.00736
                     82,                0.37453,                0.25194,                 0.8887,                0.98717,                0.98168,                0.99047,                0.85365,                0.66749,                0.28553,                0.94255,               0.007327,               0.007327,               0.007327
                     83,                 0.3717,                0.25287,                0.88657,                0.98772,                0.98267,                0.99069,                0.85365,                  0.668,                0.28639,                0.94187,               0.007294,               0.007294,               0.007294
                     84,                0.37355,                0.25364,                0.89164,                0.98567,                0.98303,                0.99058,                0.85501,                0.66593,                0.28506,                0.94045,               0.007261,               0.007261,               0.007261
                     85,                0.37407,                0.25118,                0.88957,                0.98775,                0.98111,                0.99093,                0.85257,                0.66444,                0.28541,                0.93961,               0.007228,               0.007228,               0.007228
                     86,                0.37079,                0.24776,                0.88865,                0.98872,                0.98203,                0.99099,                0.85398,                0.66348,                0.28474,                0.93827,               0.007195,               0.007195,               0.007195
                     87,                 0.3693,                0.24955,                0.88664,                0.98829,                0.98185,                0.99091,                0.85329,                0.66312,                0.28463,                0.93739,               0.007162,               0.007162,               0.007162
                     88,                0.37097,                0.25137,                0.88711,                0.98981,                0.98122,                0.99092,                0.85433,                0.66273,                0.28576,                0.93756,               0.007129,               0.007129,               0.007129
                     89,                0.36677,                0.24979,                0.88452,                0.99068,                0.97978,                0.99083,                0.85386,                0.66222,                0.28524,                0.93743,               0.007096,               0.007096,               0.007096
                     90,                0.36756,                0.24573,                0.88757,                0.99081,                0.97871,                0.99083,                0.85387,                0.66146,                0.28473,                0.93797,               0.007063,               0.007063,               0.007063
                     91,                0.36487,                0.24807,                 0.8881,                0.99165,                0.97809,                0.99092,                0.85459,                0.66024,                0.28442,                0.93732,                0.00703,                0.00703,                0.00703
                     92,                0.36719,                0.24723,                 0.8889,                0.99063,                 0.9786,                0.99086,                0.85397,                0.65906,                0.28373,                0.93671,               0.006997,               0.006997,               0.006997
                     93,                0.36417,                0.24571,                0.88335,                0.99076,                0.97841,                0.99098,                0.85482,                0.65798,                0.28431,                0.93566,               0.006964,               0.006964,               0.006964
                     94,                0.36391,                0.24287,                0.88708,                0.99189,                0.97785,                0.99092,                0.85591,                0.65768,                0.28323,                0.93527,               0.006931,               0.006931,               0.006931
                     95,                0.35902,                  0.244,                0.88423,                0.99005,                0.97948,                0.99015,                0.85628,                  0.657,                0.28182,                  0.935,               0.006898,               0.006898,               0.006898
                     96,                0.36763,                0.24648,                0.88654,                0.99091,                0.97958,                0.99003,                0.85569,                0.65653,                0.28125,                0.93475,               0.006865,               0.006865,               0.006865
                     97,                 0.3615,                0.24281,                0.88584,                0.99128,                0.97813,                0.98997,                0.85597,                0.65632,                0.28104,                0.93465,               0.006832,               0.006832,               0.006832
                     98,                 0.3552,                0.23936,                0.88134,                0.98864,                0.98133,                0.99075,                0.85571,                0.65647,                0.28066,                0.93479,               0.006799,               0.006799,               0.006799
                     99,                0.36198,                0.24328,                0.88631,                0.99145,                0.97926,                0.99003,                 0.8551,                0.65695,                0.28019,                0.93536,               0.006766,               0.006766,               0.006766
                    100,                0.35901,                0.24166,                0.88341,                0.99138,                0.97968,                0.99003,                0.85605,                0.65625,                0.28044,                0.93511,               0.006733,               0.006733,               0.006733
                    101,                0.36035,                0.24358,                0.88696,                0.99149,                0.98112,                0.99099,                0.85662,                0.65589,                 0.2805,                 0.9347,                 0.0067,                 0.0067,                 0.0067
                    102,                0.36075,                0.24258,                 0.8843,                0.99038,                0.98335,                0.99097,                0.85702,                 0.6558,                0.27944,                0.93444,               0.006667,               0.006667,               0.006667
