                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72377,                0.45017,                 1.0154,                0.97678,                  0.929,                0.98215,                0.78522,                0.83305,                0.45024,                 1.0423,               0.008845,               0.008845,               0.008845
                     37,                0.72412,                0.44547,                 1.0235,                0.95285,                0.95113,                0.97904,                0.78516,                0.81954,                0.45049,                 1.0341,               0.008812,               0.008812,               0.008812
                     38,                0.72955,                0.44783,                 1.0212,                0.94298,                0.92745,                0.96357,                0.77056,                 0.8208,                 0.5118,                 1.0351,               0.008779,               0.008779,               0.008779
                     39,                   0.72,                0.44007,                 1.0108,                0.94011,                0.94044,                0.96945,                0.77299,                 0.8174,                0.48841,                 1.0465,               0.008746,               0.008746,               0.008746
                     40,                0.70374,                0.43609,                 1.0097,                0.94405,                0.94152,                0.97537,                0.78526,                0.80806,                0.46773,                 1.0296,               0.008713,               0.008713,               0.008713
                     41,                0.69337,                0.43122,                 1.0073,                0.95832,                0.95015,                0.97776,                0.78821,                0.81533,                0.46275,                 1.0339,                0.00868,                0.00868,                0.00868
                     42,                0.69053,                0.42955,                  1.005,                0.93226,                0.95305,                0.97185,                 0.7819,                0.80957,                 0.4554,                 1.0197,               0.008647,               0.008647,               0.008647
                     43,                0.69339,                0.42309,                 1.0008,                0.94019,                0.95169,                0.97993,                 0.7751,                0.82302,                0.46468,                  1.039,               0.008614,               0.008614,               0.008614
                     44,                0.68936,                0.42167,                 1.0012,                0.95845,                0.94022,                0.97528,                0.77786,                0.81758,                0.46838,                 1.0381,               0.008581,               0.008581,               0.008581
                     45,                0.67987,                0.41816,                0.99403,                 0.9629,                 0.9629,                0.98386,                0.79743,                0.80274,                0.42232,                 1.0184,               0.008548,               0.008548,               0.008548
                     46,                0.67328,                0.41711,                0.99209,                0.96155,                0.95329,                0.98078,                0.78654,                0.80839,                0.44914,                 1.0294,               0.008515,               0.008515,               0.008515
                     47,                0.66336,                0.40684,                0.98876,                0.96645,                0.96287,                0.98358,                0.80143,                0.79109,                0.41371,                 1.0204,               0.008482,               0.008482,               0.008482
                     48,                0.66914,                0.41148,                0.99619,                0.96943,                0.95592,                0.98362,                0.80549,                0.78784,                0.41334,                  1.018,               0.008449,               0.008449,               0.008449
                     49,                0.65777,                0.40357,                0.98557,                0.96439,                0.94291,                0.97856,                0.79097,                0.80084,                0.44157,                 1.0266,               0.008416,               0.008416,               0.008416
                     50,                0.66581,                0.40788,                0.99551,                0.96422,                0.95097,                0.98158,                 0.7984,                0.77543,                0.42987,                  1.005,               0.008383,               0.008383,               0.008383
                     51,                0.65696,                 0.4083,                0.98832,                0.95548,                 0.9526,                0.98181,                0.79112,                0.78798,                0.43203,                 1.0194,                0.00835,                0.00835,                0.00835
                     52,                0.64753,                 0.4012,                0.99071,                0.97546,                0.95784,                0.98215,                0.80041,                0.78645,                 0.4146,                 1.0194,               0.008317,               0.008317,               0.008317
                     53,                0.64411,                0.39832,                 0.9798,                0.97653,                 0.9501,                0.98253,                0.80372,                0.78471,                0.40894,                 1.0173,               0.008284,               0.008284,               0.008284
                     54,                0.65008,                0.40195,                0.98549,                0.97131,                0.95905,                0.98458,                0.80818,                0.76343,                0.39595,                 1.0046,               0.008251,               0.008251,               0.008251
                     55,                0.63462,                0.39712,                0.97716,                0.97267,                0.95392,                0.98512,                0.80128,                0.77259,                 0.4013,                0.99491,               0.008218,               0.008218,               0.008218
                     56,                0.62849,                0.38691,                0.97662,                0.97532,                0.95034,                0.98425,                0.80702,                0.77969,                0.41255,                 1.0062,               0.008185,               0.008185,               0.008185
                     57,                0.63111,                0.39224,                0.97927,                0.96828,                0.95699,                 0.9846,                0.80166,                0.79875,                0.41693,                 1.0249,               0.008152,               0.008152,               0.008152
                     58,                0.61768,                0.38599,                0.96807,                 0.9794,                0.95671,                 0.9829,                0.80924,                0.77732,                0.39897,                 1.0063,               0.008119,               0.008119,               0.008119
                     59,                0.63029,                 0.3949,                0.97756,                0.96953,                0.94624,                0.98445,                0.81219,                0.77164,                0.41574,                 1.0017,               0.008086,               0.008086,               0.008086
                     60,                0.62192,                0.38742,                0.97004,                0.96991,                0.96476,                0.98577,                0.80949,                0.76537,                0.39343,                 1.0031,               0.008053,               0.008053,               0.008053
                     61,                0.61779,                0.37924,                 0.9707,                0.97742,                0.96546,                0.98621,                 0.8084,                  0.771,                0.39198,                 1.0163,                0.00802,                0.00802,                0.00802
                     62,                0.61054,                0.37408,                0.96499,                0.97398,                0.96052,                0.98622,                0.80393,                0.78512,                0.39506,                 1.0209,               0.007987,               0.007987,               0.007987
                     63,                0.61335,                0.37954,                0.96769,                0.96586,                0.96593,                0.98518,                 0.8101,                0.77296,                0.39803,                0.99833,               0.007954,               0.007954,               0.007954
                     64,                0.60831,                0.37266,                0.96793,                0.97085,                0.97124,                0.98631,                0.80552,                0.77051,                0.38546,                 1.0011,               0.007921,               0.007921,               0.007921
                     65,                0.60232,                0.37616,                0.96569,                0.97725,                0.95207,                0.98519,                 0.8066,                0.75631,                0.38932,                 0.9962,               0.007888,               0.007888,               0.007888
                     66,                0.59457,                0.36998,                0.96372,                 0.9808,                0.96618,                0.98601,                0.81343,                0.75176,                0.38352,                0.99347,               0.007855,               0.007855,               0.007855
                     67,                0.60182,                0.37051,                0.96297,                0.95741,                0.96805,                0.98249,                0.80458,                0.76069,                0.39302,                 1.0029,               0.007822,               0.007822,               0.007822
                     68,                0.59843,                0.37181,                0.96535,                 0.9665,                0.95134,                 0.9836,                0.79704,                 0.7868,                0.41801,                  1.009,               0.007789,               0.007789,               0.007789
                     69,                0.59573,                0.37123,                0.96701,                0.97617,                0.96903,                0.98781,                0.81199,                0.75257,                0.37974,                0.99328,               0.007756,               0.007756,               0.007756
                     70,                0.59149,                0.37325,                  0.965,                0.97366,                0.96097,                0.98708,                0.81605,                0.74265,                0.37972,                0.98847,               0.007723,               0.007723,               0.007723
                     71,                0.57704,                0.36328,                0.95204,                0.97072,                0.94865,                0.98298,                0.81123,                0.74616,                0.39218,                0.99284,                0.00769,                0.00769,                0.00769
                     72,                0.58099,                0.36359,                 0.9611,                0.97645,                0.95536,                0.98442,                0.81555,                0.75043,                0.38692,                0.99089,               0.007657,               0.007657,               0.007657
                     73,                0.59327,                0.36894,                  0.964,                0.96931,                0.95276,                0.98144,                0.80433,                 0.7625,                0.39488,                0.99599,               0.007624,               0.007624,               0.007624
                     74,                 0.5762,                0.35698,                0.95776,                0.97604,                0.96253,                0.98472,                0.81416,                0.75015,                 0.3717,                 0.9858,               0.007591,               0.007591,               0.007591
                     75,                0.57373,                0.35494,                0.95005,                0.98468,                0.96451,                0.98741,                0.81097,                0.75958,                0.37997,                 1.0075,               0.007558,               0.007558,               0.007558
                     76,                0.57675,                0.35991,                0.95242,                0.97776,                0.96903,                0.98583,                0.81061,                0.76502,                 0.3788,                 1.0014,               0.007525,               0.007525,               0.007525
                     77,                 0.5678,                0.35179,                0.95093,                0.97565,                0.96166,                0.98623,                0.81778,                0.74083,                0.37208,                 0.9902,               0.007492,               0.007492,               0.007492
                     78,                0.56796,                0.35895,                0.94801,                0.97039,                0.95615,                 0.9844,                0.81119,                0.74787,                0.38499,                0.98569,               0.007459,               0.007459,               0.007459
                     79,                0.56669,                0.35729,                0.94561,                0.97546,                0.95434,                0.98796,                0.81728,                0.75349,                0.37514,                0.98524,               0.007426,               0.007426,               0.007426
                     80,                0.57227,                0.35734,                0.95237,                0.97686,                0.96662,                0.98728,                0.81342,                0.74191,                0.37197,                0.98188,               0.007393,               0.007393,               0.007393
