                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.332,                 2.4528,                 1.5161,                0.77459,                 0.7497,                0.83546,                0.53617,                 1.2062,                 1.8465,                 1.2087,              0.0033229,              0.0033229,              0.0033229
                      2,                 1.1781,                 1.2281,                  1.224,                  0.879,                0.83869,                 0.9281,                0.61481,                  1.193,                 1.2288,                  1.219,              0.0066343,              0.0066343,              0.0066343
                      3,                  1.175,                0.99908,                 1.2271,                0.68382,                0.44833,                0.51979,                0.27404,                 1.6927,                  2.115,                 1.6839,              0.0099237,              0.0099237,              0.0099237
                      4,                 1.1964,                0.86604,                  1.245,                0.84092,                0.77078,                0.84731,                0.51436,                 1.3662,                 1.0199,                 1.3768,               0.009901,               0.009901,               0.009901
                      5,                 1.1139,                  0.738,                 1.2118,                0.87845,                0.84053,                0.91759,                0.55194,                 1.3878,                0.89256,                 1.3686,               0.009868,               0.009868,               0.009868
                      6,                 1.0426,                0.65992,                 1.1793,                0.90612,                 0.8322,                0.91032,                0.58452,                 1.2423,                 0.8088,                 1.2712,               0.009835,               0.009835,               0.009835
                      7,                0.99058,                0.61351,                 1.1486,                0.90269,                0.87856,                0.94539,                 0.5831,                 1.3759,                0.77789,                 1.3113,               0.009802,               0.009802,               0.009802
                      8,                0.94859,                0.57832,                 1.1288,                0.91337,                0.88199,                0.94567,                0.67452,                 1.0154,                0.67615,                 1.1541,               0.009769,               0.009769,               0.009769
                      9,                0.90825,                0.55498,                 1.1121,                0.88013,                0.86576,                0.94442,                0.67634,                 1.0646,                 0.7167,                 1.1569,               0.009736,               0.009736,               0.009736
                     10,                0.89187,                 0.5401,                 1.1031,                0.89061,                0.86419,                0.93763,                 0.6881,                 0.9833,                0.67691,                 1.1366,               0.009703,               0.009703,               0.009703
                     11,                0.85603,                 0.5137,                 1.0892,                0.94841,                0.92314,                 0.9691,                0.69479,                 1.0465,                0.57843,                 1.1444,                0.00967,                0.00967,                0.00967
                     12,                0.83948,                0.50383,                 1.0828,                0.92663,                0.93201,                  0.968,                 0.7195,                0.96962,                0.54855,                 1.1074,               0.009637,               0.009637,               0.009637
                     13,                0.81349,                0.48522,                 1.0682,                0.94556,                0.87692,                0.95457,                0.69609,                 1.0078,                0.62269,                 1.1405,               0.009604,               0.009604,               0.009604
                     14,                0.80305,                0.47881,                 1.0637,                0.93992,                0.93615,                0.97053,                0.73196,                0.94237,                0.52736,                 1.1005,               0.009571,               0.009571,               0.009571
